participant,side,Sampler,seed,fold,sigma_noise,A_repulsion,gamma,sigma_update,eta_learning,sigma_boundary,alpha,train error,test error
QP070,Asym_right,CMA-ES,6,1,0.25990661268120663,0.04819604220894978,0.978992575829311,0.1971539440576529,2.1691680622289913,0.9111158130640942,0.6865686376803709,0.04115680110810534,0.04529854640783593
QP070,Asym_right,CMA-ES,6,2,0.17042644294067583,0.1115329973211634,0.9765993748418167,0.08370865325362353,1.6810991871682832,7.529874130943353,0.4365304310565136,0.032305912550300096,0.060113877217205666
QP070,Asym_right,CMA-ES,7,1,0.17525228640835017,0.08007538393965244,0.9115552121969187,0.45574576467509775,1.010752764952902,2.383026900615498,0.7097901768220548,0.022886114616714838,0.057242899763794486
QP070,Asym_right,CMA-ES,7,2,0.20009485961905665,0.02993053230239301,0.9929626182595525,0.49721021010787536,2.141115883599775,5.390254604881602,0.7690123637685295,0.04690589457303319,0.019929434406764084
QP070,Asym_right,CMA-ES,8,1,0.20185710952831004,0.1561301850995347,0.7663898125628529,0.26203727776086166,0.2493459143875793,5.134791844301586,0.3969996660216947,0.026393256101085165,0.06833648723730601
QP070,Asym_right,CMA-ES,8,2,0.17206572765665706,0.10004933349707627,0.816048631211624,0.25497004354157315,0.12121238487059155,6.757736090783666,0.38112433364613074,0.041669377967888305,0.04333102841664746
QP071,Asym_right,CMA-ES,1,1,0.1736750868492125,0.24706083947434096,0.855386349916029,0.3322668612185335,0.7503122333509612,3.2000226573580663,0.6448110164748349,0.022589679311187674,0.031171910744373213
QP071,Asym_right,CMA-ES,1,2,0.25619008993607084,0.2598809666373292,0.9894870168579301,0.318530343167462,1.0807653907413852,7.02829373476492,0.6691494141658633,0.02570184471457828,0.01885009539166304
QP071,Asym_right,CMA-ES,2,1,0.22643538548522524,0.010681958779092976,0.8558127577164732,0.2649322188513981,1.559437489177197,4.346317104932084,0.9190062321765974,0.020691212168677607,0.016878901811653392
QP071,Asym_right,CMA-ES,2,2,0.14392412225235018,0.023328623608400878,0.957821822876695,0.36564825463202,1.3589643961562066,2.4632654066009785,0.718199655756632,0.02109074318742336,0.027184068429586806
QP071,Asym_right,CMA-ES,3,1,0.20225251669328698,0.04507619281016284,0.9310270678289854,0.3356036280763,1.1101157813445346,4.004125551630415,0.8575766944627686,0.012205018737722263,0.02311482981095124
QP071,Asym_right,CMA-ES,3,2,0.21702476839794027,0.05972201759172885,0.8645088479138435,0.4105664338308735,0.9325339262072339,2.6819504500831877,0.8171069264265312,0.025676979526844466,0.02509900605544005
QP071,Asym_right,CMA-ES,4,1,0.17964039774584944,0.07413605983493021,0.8675029100472282,0.33705960735214824,1.4001715969037136,1.584362564111284,0.8502217590395711,0.026354565285084584,0.016375880417278364
QP071,Asym_right,CMA-ES,4,2,0.18266994258566094,0.07402442067647447,0.9964904745895153,0.1908421468302522,2.097886933443967,7.970798419453897,0.6810642049418133,0.015173524123827017,0.022915250436071143
QP071,Asym_right,CMA-ES,5,1,0.18516536859580435,0.13638313002241223,0.9409126333220998,0.3370337869247855,0.8597589910599288,2.850149470985378,0.7764106025610851,0.009946844695648004,0.020932205222694455
QP071,Asym_right,CMA-ES,5,2,0.2396816287113107,0.01799025330533356,0.9733672616725882,0.24961124003902588,1.359273868497155,5.14112232457684,0.7537409985347967,0.01783481608978458,0.008273907107999853
QP071,Asym_right,CMA-ES,6,1,0.18119144485036415,0.14758076723499464,0.797581614437431,0.25358610636251494,2.597409848051838,1.6883778941988208,0.8607965746726247,0.044425146641312564,0.029160716037541147
QP071,Asym_right,CMA-ES,6,2,0.16712257335021014,0.16226136399628635,0.8474488685401368,0.1655569556115241,1.226566536034509,4.738172475473155,0.5397321959914814,0.025348346630368317,0.049506940945191646
QP071,Asym_right,CMA-ES,7,1,0.19153783646388522,0.12507611796757306,0.9035822580025499,0.5899062875667174,1.3572021684916225,9.552869293440027,0.8859269601933917,0.014727037662563953,0.01832083742799297
QP071,Asym_right,CMA-ES,7,2,0.21632832647317685,0.18620659977224258,0.8967321553940176,0.34944198660899084,1.0934099270946487,3.2502780654093644,0.7640964522612668,0.022659370773132854,0.017487464452846838
QP071,Asym_right,CMA-ES,8,1,0.1939691627597055,0.007402366385618933,0.9035246093956074,0.2051101899728879,1.4033937277872406,3.5323400755307603,0.6637989055716949,0.013357021781713021,0.02031782362667591
QP071,Asym_right,CMA-ES,8,2,0.1941413651197456,0.3311098635768702,0.9743318401828059,0.4049911698055392,0.9751244355865699,3.5924782690668158,0.6573855929467538,0.01891776010905128,0.013299976051753336
QP0100,Asym_right,TPE,1,1,0.1847184734822065,0.0348419538956662,0.927049385877143,0.08395915920686871,0.8290953352176593,9.37390041259299,0.7905198489313351,0.0332108189960946,0.10135250614659512
QP0100,Asym_right,TPE,1,2,0.40297160763590995,0.3294378889663853,0.9495476826182585,0.41289985566221366,0.3189880784416509,5.75819916230431,0.5464658367055826,0.025321430953323412,0.06500589094003349
QP0100,Asym_right,TPE,2,1,0.30339531907806166,0.262256033235692,0.9888379092953365,0.553107983292268,0.6026820937297916,7.787236866140968,0.6521206417533182,0.04162844054144969,0.031059587100375263
QP0100,Asym_right,TPE,2,2,0.3124863150580731,0.11917998306013129,0.9299736555637317,0.1477639497469891,1.0950750493797197,1.353109063504653,0.6808167678919308,0.02089236814060156,0.03906027047340355
QP0100,Asym_right,TPE,3,1,0.30726019756753553,0.06471372844439854,0.8148140632895902,0.3796221124910513,0.9019369221995224,4.854908931694907,0.7122739149211489,0.019588518913457215,0.05596957594961524
QP0100,Asym_right,TPE,3,2,0.3685828050322885,0.25778558431093235,0.41037843402044005,0.3489356217449298,0.10675711562535081,4.237173565103527,0.5901944060963448,0.029813172816431553,0.07181182034779507
